ID,Name,GroupName
1,Agulhas Limestone Fynbos,Limestone Fynbos
2,Agulhas Limestone Fynbos,Limestone Fynbos
3,Cape Seashore Vegetation,Seashore Vegetation
4,Cape Seashore Vegetation,Seashore Vegetation
5,Cape Seashore Vegetation,Seashore Vegetation
6,Overberg Sandstone Fynbos,Sandstone Fynbos
7,Agulhas Sand Fynbos,Sand Fynbos
8,Overberg Sandstone Fynbos,Sandstone Fynbos
9,Cape Inland Salt Pans,Inland Saline Vegetation
10,Agulhas Limestone Fynbos,Limestone Fynbos
11,Overberg Sandstone Fynbos,Sandstone Fynbos
12,Southern Coastal Forest,Zonal & Intrazonal Forests
13,Overberg Sandstone Fynbos,Sandstone Fynbos
14,Overberg Sandstone Fynbos,Sandstone Fynbos
15,Elim Ferricrete Fynbos,Ferricrete Fynbos
16,Southern Coastal Forest,Zonal & Intrazonal Forests
17,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
18,Agulhas Sand Fynbos,Sand Fynbos
19,Overberg Sandstone Fynbos,Sandstone Fynbos
20,Agulhas Sand Fynbos,Sand Fynbos
21,Overberg Sandstone Fynbos,Sandstone Fynbos
22,Agulhas Limestone Fynbos,Limestone Fynbos
23,Agulhas Sand Fynbos,Sand Fynbos
24,Cape Seashore Vegetation,Seashore Vegetation
25,Elim Ferricrete Fynbos,Ferricrete Fynbos
26,Agulhas Sand Fynbos,Sand Fynbos
27,Agulhas Limestone Fynbos,Limestone Fynbos
28,Overberg Sandstone Fynbos,Sandstone Fynbos
29,Agulhas Limestone Fynbos,Limestone Fynbos
30,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
31,Elim Ferricrete Fynbos,Ferricrete Fynbos
32,Agulhas Sand Fynbos,Sand Fynbos
33,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
34,Overberg Sandstone Fynbos,Sandstone Fynbos
35,Cape Inland Salt Pans,Inland Saline Vegetation
36,Cape Inland Salt Pans,Inland Saline Vegetation
37,Agulhas Sand Fynbos,Sand Fynbos
38,Agulhas Sand Fynbos,Sand Fynbos
39,Central Ruens Shale Renosterveld,Shale Renosterveld
40,Cape Inland Salt Pans,Inland Saline Vegetation
41,Southern Coastal Forest,Zonal & Intrazonal Forests
42,De Hoop Limestone Fynbos,Limestone Fynbos
43,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
44,Cape Inland Salt Pans,Inland Saline Vegetation
45,Cape Seashore Vegetation,Seashore Vegetation
46,Southern Coastal Forest,Zonal & Intrazonal Forests
47,Cape Inland Salt Pans,Inland Saline Vegetation
48,Southern Coastal Forest,Zonal & Intrazonal Forests
49,Agulhas Sand Fynbos,Sand Fynbos
50,Agulhas Sand Fynbos,Sand Fynbos
51,Overberg Sandstone Fynbos,Sandstone Fynbos
52,Agulhas Limestone Fynbos,Limestone Fynbos
53,Cape Inland Salt Pans,Inland Saline Vegetation
54,Cape Inland Salt Pans,Inland Saline Vegetation
55,Cape Seashore Vegetation,Seashore Vegetation
56,Agulhas Sand Fynbos,Sand Fynbos
57,Central Ruens Shale Renosterveld,Shale Renosterveld
58,Agulhas Sand Fynbos,Sand Fynbos
59,Agulhas Limestone Fynbos,Limestone Fynbos
60,Cape Inland Salt Pans,Inland Saline Vegetation
61,Elim Ferricrete Fynbos,Ferricrete Fynbos
62,Central Ruens Shale Renosterveld,Shale Renosterveld
63,Southern Coastal Forest,Zonal & Intrazonal Forests
64,Agulhas Sand Fynbos,Sand Fynbos
65,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
66,Overberg Sandstone Fynbos,Sandstone Fynbos
67,Agulhas Sand Fynbos,Sand Fynbos
68,Overberg Sandstone Fynbos,Sandstone Fynbos
69,Southern Coastal Forest,Zonal & Intrazonal Forests
70,Central Ruens Shale Renosterveld,Shale Renosterveld
71,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
72,Agulhas Sand Fynbos,Sand Fynbos
73,Cape Inland Salt Pans,Inland Saline Vegetation
74,Cape Inland Salt Pans,Inland Saline Vegetation
75,Agulhas Sand Fynbos,Sand Fynbos
76,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
77,Freshwater Lakes,Waterbodies
78,Southern Coastal Forest,Zonal & Intrazonal Forests
79,Agulhas Sand Fynbos,Sand Fynbos
80,Agulhas Sand Fynbos,Sand Fynbos
81,Southern Coastal Forest,Zonal & Intrazonal Forests
82,Agulhas Limestone Fynbos,Limestone Fynbos
83,Central Ruens Shale Renosterveld,Shale Renosterveld
84,Agulhas Sand Fynbos,Sand Fynbos
85,Agulhas Sand Fynbos,Sand Fynbos
86,De Hoop Limestone Fynbos,Limestone Fynbos
87,Cape Inland Salt Pans,Inland Saline Vegetation
88,Agulhas Sand Fynbos,Sand Fynbos
89,Agulhas Sand Fynbos,Sand Fynbos
90,Cape Inland Salt Pans,Inland Saline Vegetation
91,Freshwater Lakes,Waterbodies
