geometry,OBJECTID,Shape,NAME,MAPCODE12,Map code subtype,Bioregion,Biome,Changed in version,Change reference,Conservation target,Biome code,Group code,Group name,Bioregional code,Legend,Veg Type SQKM 2012,Document Link,Subtype name,Book Sort,Polygon SQKM,SHAPE_LENG
Geocortex.Gis.Geometries.Polygon,1,,Agulhas Limestone Fynbos,FFl1, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFl,Limestone Fynbos,F04,FFl 1  Agulhas Limestone Fynbos,294.4978,Descriptions\FFl_1_2006.docx, ,01 11 001,0.6612,5028.77774972255
Geocortex.Gis.Geometries.Polygon,2,,Agulhas Limestone Fynbos,FFl1, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFl,Limestone Fynbos,F04,FFl 1  Agulhas Limestone Fynbos,294.4978,Descriptions\FFl_1_2006.docx, ,01 11 001,11.7207,25681.9663982392
Geocortex.Gis.Geometries.Polygon,3,,Cape Seashore Vegetation,AZd3, ,Seashore Vegetation,Azonal Vegetation,VM06,VegMap 2006,20,AZ,AZd,Seashore Vegetation,AZd,AZd 3  Cape Seashore Vegetation,243.5824,Descriptions\AZd_3_2006.docx, ,10 02 003,0.3324,5624.94840914603
Geocortex.Gis.Geometries.Polygon,4,,Cape Seashore Vegetation,AZd3, ,Seashore Vegetation,Azonal Vegetation,VM06,VegMap 2006,20,AZ,AZd,Seashore Vegetation,AZd,AZd 3  Cape Seashore Vegetation,243.5824,Descriptions\AZd_3_2006.docx, ,10 02 003,0.0735,2241.35543320809
Geocortex.Gis.Geometries.Polygon,5,,Cape Seashore Vegetation,AZd3, ,Seashore Vegetation,Azonal Vegetation,VM06,VegMap 2006,20,AZ,AZd,Seashore Vegetation,AZd,AZd 3  Cape Seashore Vegetation,243.5824,Descriptions\AZd_3_2006.docx, ,10 02 003,1.2295,17366.0447527273
Geocortex.Gis.Geometries.Polygon,6,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,0.1208,1295.83678825679
Geocortex.Gis.Geometries.Polygon,7,,Agulhas Sand Fynbos,FFd7, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFd,Sand Fynbos,F04,FFd 7  Agulhas Sand Fynbos,230.5907,Descriptions\FFd_7_2006.docx, ,01 03 007,0.0946,1684.66196318357
Geocortex.Gis.Geometries.Polygon,8,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,0.095,1967.81998631813
Geocortex.Gis.Geometries.Polygon,9,,Cape Inland Salt Pans,AZi9, ,Inland Saline Vegetation,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZi,Inland Saline Vegetation,AZi,AZi 9  Cape Inland Salt Pans,174.982,Descriptions\AZi_9_2006.docx, ,10 06 009,0.1678,1621.17414432916
Geocortex.Gis.Geometries.Polygon,10,,Agulhas Limestone Fynbos,FFl1, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFl,Limestone Fynbos,F04,FFl 1  Agulhas Limestone Fynbos,294.4978,Descriptions\FFl_1_2006.docx, ,01 11 001,3.9306,19583.422363542
Geocortex.Gis.Geometries.Polygon,11,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,0.1368,2123.64519112109
Geocortex.Gis.Geometries.Polygon,12,,Southern Coastal Forest,FOz6, ,Zonal & Intrazonal Forests,Forests,VM06,VegMap 2006,21,FO,FOz,Zonal & Intrazonal Forests,FOz,FOz 6  Southern Coastal Forest,165.1131,Descriptions\FOz_6_2006.docx, ,09 01 006,0.0761,1065.03081855504
Geocortex.Gis.Geometries.Polygon,13,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,0.6111,3444.51586046013
Geocortex.Gis.Geometries.Polygon,14,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,0.0546,906.21567867252
Geocortex.Gis.Geometries.Polygon,15,,Elim Ferricrete Fynbos,FFf1, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFf,Ferricrete Fynbos,F02,FFf 1  Elim Ferricrete Fynbos,665.5642,Descriptions\FFf_1_2006.docx, ,01 10 001,1.2311,7282.16526580253
Geocortex.Gis.Geometries.Polygon,16,,Southern Coastal Forest,FOz6, ,Zonal & Intrazonal Forests,Forests,VM06,VegMap 2006,21,FO,FOz,Zonal & Intrazonal Forests,FOz,FOz 6  Southern Coastal Forest,165.1131,Descriptions\FOz_6_2006.docx, ,09 01 006,0.1308,1926.37509897478
Geocortex.Gis.Geometries.Polygon,17,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,1.7278,7060.22855768162
Geocortex.Gis.Geometries.Polygon,18,,Agulhas Sand Fynbos,FFd7, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFd,Sand Fynbos,F04,FFd 7  Agulhas Sand Fynbos,230.5907,Descriptions\FFd_7_2006.docx, ,01 03 007,0.2222,3589.03020715473
Geocortex.Gis.Geometries.Polygon,19,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,0.9234,8229.28213772395
Geocortex.Gis.Geometries.Polygon,20,,Agulhas Sand Fynbos,FFd7, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFd,Sand Fynbos,F04,FFd 7  Agulhas Sand Fynbos,230.5907,Descriptions\FFd_7_2006.docx, ,01 03 007,0.49,8507.96440326033
Geocortex.Gis.Geometries.Polygon,21,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,1.9037,7897.92434068786
Geocortex.Gis.Geometries.Polygon,22,,Agulhas Limestone Fynbos,FFl1, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFl,Limestone Fynbos,F04,FFl 1  Agulhas Limestone Fynbos,294.4978,Descriptions\FFl_1_2006.docx, ,01 11 001,8.2225,35406.4295237672
Geocortex.Gis.Geometries.Polygon,23,,Agulhas Sand Fynbos,FFd7, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFd,Sand Fynbos,F04,FFd 7  Agulhas Sand Fynbos,230.5907,Descriptions\FFd_7_2006.docx, ,01 03 007,13.0233,47656.0014138746
Geocortex.Gis.Geometries.Polygon,24,,Cape Seashore Vegetation,AZd3, ,Seashore Vegetation,Azonal Vegetation,VM06,VegMap 2006,20,AZ,AZd,Seashore Vegetation,AZd,AZd 3  Cape Seashore Vegetation,243.5824,Descriptions\AZd_3_2006.docx, ,10 02 003,0.3804,4636.13531965327
Geocortex.Gis.Geometries.Polygon,25,,Elim Ferricrete Fynbos,FFf1, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFf,Ferricrete Fynbos,F02,FFf 1  Elim Ferricrete Fynbos,665.5642,Descriptions\FFf_1_2006.docx, ,01 10 001,0.057,1037.27851604722
Geocortex.Gis.Geometries.Polygon,26,,Agulhas Sand Fynbos,FFd7, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFd,Sand Fynbos,F04,FFd 7  Agulhas Sand Fynbos,230.5907,Descriptions\FFd_7_2006.docx, ,01 03 007,0.2323,3718.93188825782
Geocortex.Gis.Geometries.Polygon,27,,Agulhas Limestone Fynbos,FFl1, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFl,Limestone Fynbos,F04,FFl 1  Agulhas Limestone Fynbos,294.4978,Descriptions\FFl_1_2006.docx, ,01 11 001,0.147,2107.28438611705
Geocortex.Gis.Geometries.Polygon,28,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,1.1044,9294.02169530329
Geocortex.Gis.Geometries.Polygon,29,,Agulhas Limestone Fynbos,FFl1, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFl,Limestone Fynbos,F04,FFl 1  Agulhas Limestone Fynbos,294.4978,Descriptions\FFl_1_2006.docx, ,01 11 001,14.0837,40885.9771572384
Geocortex.Gis.Geometries.Polygon,30,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,13.0859,41613.7596892515
Geocortex.Gis.Geometries.Polygon,31,,Elim Ferricrete Fynbos,FFf1, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFf,Ferricrete Fynbos,F02,FFf 1  Elim Ferricrete Fynbos,665.5642,Descriptions\FFf_1_2006.docx, ,01 10 001,0.9196,7731.0720786982
Geocortex.Gis.Geometries.Polygon,32,,Agulhas Sand Fynbos,FFd7, ,South Coast Fynbos Bioregion,Fynbos,VM06,VegMap 2006,32,F,FFd,Sand Fynbos,F04,FFd 7  Agulhas Sand Fynbos,230.5907,Descriptions\FFd_7_2006.docx, ,01 03 007,0.7098,7620.65159314028
